dataset(id);id_db;description_short;keyword(synonyms);description_full;dataset(description);dataset(description);segmented_word;dataset(title,description);success_a;failure_b;failure_c;failure_d;failure_e;completion_time;category;WER_score
179;137e8bd9-1ecd-4ff2-a95d-5e38cd46ff82;bicycle stand;bicycle stand,bicycle rack,WC,restroom,weather; Velo-Ständer Mannenweiher. Wann werden die Velo-Ständer beim WC Hüsli am östlichen Ende des Mannenweihers wieder hingestellt? Das Wetter ist schön, das WC offen und es hat viele Leute dort, welche ihre Velos sonst irgendwo hinstellen. Vielen Dank.;Veloständer Mannenweiher;Wann werden die Veloständer beim WC-Hüsli am östlichen Ende des Mannenweihers wieder hingestellt? Das Wetter ist schön, das WC offen und es hat viele Leute dort, welche ihre Velos sonst irgendwo hinstellen. Vielen Dank;null;Veloständer Mannenweiher Wann werden die Veloständer beim WC-Hüsli am östlichen Ende des Mannenweihers wieder hingestellt? Das Wetter ist schön, das WC offen und es hat viele Leute dort, welche ihre Velos sonst irgendwo hinstellen. Vielen Dank;x;;;;;99;Diverses;0.167
180;85256b14-b50d-42c7-8eca-b521527bc5d6;condensation;condensation,water,place,area,tourist; Unleserlich. Alles unleserlich und mit Kondenswasser voll. Nicht gerade touristenfreundlich.;Unleserlich;Alles unleserlich und mit Kondenswasser voll.Nicht gerade Touristen freundlich.;null;Unleserlich Alles unleserlich und mit Kondenswasser voll.Nicht gerade Touristen freundlich.;;;;;x;87;Diverses;0.500
181;e98f4dcf-7aec-4d42-a826-ad17de8c648e;dirty bench;dirty bench,bench,seating,public bench; Verunreinigte Sitzbank bei der Haltestelle. Danke für die Reinigung des Sitzbanks.;Veruneinigte Sitzbank bei der Haltestelle;Danke für die Reinigung des Sitzbank;null;Veruneinigte Sitzbank bei der Haltestelle Danke für die Reinigung des Sitzbank;;;;;x;84;Diverses;0.273
182;496498be-2a75-4a54-b760-b1f5c12f4bcb;roof;roof,bush hut,cow,seats; Wasserablauf vom Bushüsli-Dach. Rind auf die Sitze.;Wasserablauf vom Bushüsli Dach;Rinnt auf die Sitze;null;Wasserablauf vom Bushüsli Dach Rinnt auf die Sitze;;x;;;;81;Diverses;0.500
183;afb1ff9e-6d45-4e1a-a3b5-c1afe46f5ba1;fountain figure;fountain figure,duck,playground,Seeblickstraße; Brunnen auf Spielplatz. Grüezi miteinander. Beim Spielplatz Seeblickstraße ist die Brunnenfigur Ente nicht mehr gut verankert. Es wäre schön, wenn die kleine Ente wieder gut einbetoniert wäre. Danke.;Brunnen auf Spielplatz;"Grüezi mitenand Beim Spielplatz Seeblickstrasse ist die Brunnenfigur ( Ente ) nicht mehr gut verankert. Es wäre schön wenn die kleine Ente wieder gut einbetoniert wäre! Danke!
";a duck;"Brunnen auf Spielplatz Grüezi mitenand Beim Spielplatz Seeblickstrasse ist die Brunnenfigur ( Ente ) nicht mehr gut verankert. Es wäre schön wenn die kleine Ente wieder gut einbetoniert wäre! Danke!
";x;;;;;184;Diverses;0.267
184;19a1d042-af35-481e-8a42-55b6f3133739;accident trap;accident trap,bridge,railing,construction error,guardrail; Unfallfalle mit kindersehr gefährlich bauliche Fehlleistung auf beiden Seiten der Brücke falsch installierte Geländer.;Unfallfalle;Mit Kinder sehr gefährlich . Bauliche Fehlleistung. Auf beiden Seiten der Brücke falsch installierte Geländer.;a railing;Unfallfalle Mit Kinder sehr gefährlich . Bauliche Fehlleistung. Auf beiden Seiten der Brücke falsch installierte Geländer.;;;;;x;184;Diverses;0.438
185;2d564cd1-38e8-4578-8e98-19fb95568e38;motorcycle parking lot;motorcycle parking lot,parking restriction,vehicles,bicycles,police; Missachtung Parkverbot Beim Motorradparkplatz an der Lagerstrasse wird das Parkverbot für andere Fahrzeuge regelmässig, meist durch Velofahrer, missachtet. Dabei stehen die gleichen Velos manchmal wochenlang falsch. Es wäre sehr zu begrüssen, wenn die Stadtpolizei diesen Parkplatz in der gleichen Regelmässigkeit wie bei den Autoparkplätzen kontrollieren würde.;Missachtung Parkverbot;Beim Motorradparkplatz an der Lagerstrasse wird das Parkverbot für andere Fahrzeuge regelmässig (meist durch Velofahrer) missachtet. Dabei stehen die gleichen Velos manchmal wochenlang falsch. Es wäre sehr zu begrüssen, wenn die Stadtpolizei diesen Parkplatz in der gleichen Regelmässigkeit wie bei den Autoparkplätzen kontrollieren würde.;a parking restriction;Missachtung Parkverbot Beim Motorradparkplatz an der Lagerstrasse wird das Parkverbot für andere Fahrzeuge regelmässig (meist durch Velofahrer) missachtet. Dabei stehen die gleichen Velos manchmal wochenlang falsch. Es wäre sehr zu begrüssen, wenn die Stadtpolizei diesen Parkplatz in der gleichen Regelmässigkeit wie bei den Autoparkplätzen kontrollieren würde.;x;;;;;251;Diverses;0.065
186;69744570-58a0-4f99-9eef-490e15da6348;fence repair;fence repair,fence,repair; Zaunreparatur. Bitte höflichst um eine Zaunreparatur.;Zaun Reperatur;Bitten höflichst um eine Zaunreperatur;a fence;Zaun Reperatur Bitten höflichst um eine Zaunreperatur;x;;;;;153;Diverses;0.571
187;cabf2071-1986-4507-a012-d41c1559547c;garden chair;garden chair,chair,garden chair,seat; Gartenstuhl. Es liegt ein Gartenstuhl in der Steiner.;Gartenstuhl;Es liegt ein Gartenstuhl in der Steinach;null;Gartenstuhl Es liegt ein Gartenstuhl in der Steinach;;;;;x;86;Diverses;0.250
188;de7b3c29-e022-4aff-bf82-93e1a535e23c;step;step,staircase,step,ladder,nail; Treppenstufe Lose. Guten Tag, im obersten Abschnitt Schlösslittreppe 21. Stufe ab Dufvordstraße Lose Treppenschufe. Könnte einen Nagel brauchen. Danke.;Treppenstufe lose;Guten Tag. Im obersten Abschnitt Schlösslitreppe, 21.Stufe ab Dufourstrasse, lose Treppenstufe. Könnte einen Nagel brauchen. Danke.;null;Treppenstufe lose Guten Tag. Im obersten Abschnitt Schlösslitreppe, 21.Stufe ab Dufourstrasse, lose Treppenstufe. Könnte einen Nagel brauchen. Danke.;;;;;x;94;Diverses;0.500
189;9f8bacd1-b2c7-43c8-b250-61555b0ba565;hallway;hallway,corridor,hallway; Und der Flur behält er voll.;Unterflurbehälter voll;;null;Unterflurbehälter voll ;;;x;;;83;Diverses;3.000
190;e51c71ed-a185-4fec-afcb-ef8f9f4c79f8;distribution box;distribution box,box,electrical box,staircase,Rötliweg; Defekter Verteilerkasten. Der Kasten befindet sich unten an der Treppe. Rötliweg.;Defekter Verteilerkasten;Der Kasten befindet sich unten an der Treppe, Röteliweg.;a electrical box;Defekter Verteilerkasten Der Kasten befindet sich unten an der Treppe, Röteliweg.;x;;;;;163;Diverses;0.273
191;0d07229c-4870-4f0b-a86d-aa3e4c3631a9;underpass;underpass,Langgasse,graffiti,urine; Unterführung Langgasse Guten Tag, wird diese Unterführung von der Stadt nicht kontrolliert und gereinigt? Diverse Graffiti und es stinkt von Urin.;Unterführung Langgasse;Guten Tag Wird diese Unterführung von der Stadt nicht Kontrolliert und gereinigt?! Dieverse graffiti und es stinkt von Urin.;a graffiti;Unterführung Langgasse Guten Tag Wird diese Unterführung von der Stadt nicht Kontrolliert und gereinigt?! Dieverse graffiti und es stinkt von Urin.;x;;;;;91;Diverses;0.286
192;e1442d53-05c6-424f-a77d-f4ade136140b;light;light,light; Licht geht nicht.;Licht geht nicht;;a light;Licht geht nicht ;x;;;;;99;Diverses;0.333
193;d8a53d61-260f-444b-9872-05739162019d;hydrant;hydrant,water source,pipe,water; Hydrant rinnt. Der Hydrant verliert Wasser.;Hydrant rinnt;Der Hydrant verliert Wasser;a hydrant;Hydrant rinnt Der Hydrant verliert Wasser;x;;;;;121;Diverses;0.333
194;eb7ae46e-a76b-4631-82ee-77902265519e;parking lot;parking lot,state power,people; Parkplatz hinterlauben. Jeden Tag wird hier parkiert und die Staatsgewalt ignoriert dies gefließentlich. Obwohl sie sehr wohl vorbeigehen oder fahren. Es scheint, dass gewisse Leute halt doch gleicher sind als andere.;Parkplatz Hinterlauben;Jeden (!) Tag wird hier parkiert - und die Staatsgewalt ignoriert dies geflissentlich. Obwohl sie sehr wohl vorbeigehen oder -fahren. Es scheint, dass gewisse Leute halt doch gleicher sind als andere.;a parking lot;Parkplatz Hinterlauben Jeden (!) Tag wird hier parkiert - und die Staatsgewalt ignoriert dies geflissentlich. Obwohl sie sehr wohl vorbeigehen oder -fahren. Es scheint, dass gewisse Leute halt doch gleicher sind als andere.;x;;;;;178;Diverses;0.152
195;450c8406-2aa0-49b3-b85b-3efd4d1db96b;vandalism;vandalism,vandals,bench,sidewalk,paving slabs; Wandalenakt. Wandale haben an einer Bank der Höchsterstraße die Fussplatten entfernt und in die Wiese geworfen. Wir bitten um Instandsetzung. Vielen Dank.;Vandalenakt;Vandalen haben an einer Bank der Höchster Strasse die Fussplatten entfernt und in die Wiese geworfen. Wir bitten um Instandsetzung, vielen Dank.;a bench;Vandalenakt Vandalen haben an einer Bank der Höchster Strasse die Fussplatten entfernt und in die Wiese geworfen. Wir bitten um Instandsetzung, vielen Dank.;;;;x;;309;Diverses;0.261
196;80891920-cdc3-4fd2-a558-b16836121468;light effect;light effect,public facility,left door,WC facility; WC-Anlage Lichteffekt bei der öffentlichen Anlage bild linke Türe.;WC Anlage Licht defekt;...bei der öffentlichen Anlage, Bild linke Türe;a left door;WC Anlage Licht defekt ...bei der öffentlichen Anlage, Bild linke Türe;x;;;;;152;Diverses;0.727
197;53dab15f-eb47-4a97-bdfb-412035ca833a;underpass;underpass,street,person underpass,plank; Unterführung Rorschacher Strasse. Bei der Personenunterführung im Neudorf hat sich ein Brett gelöst.;Unterführung Rorschacher Strasse;Bei der Personenunterführung im Neudorf hat sich ein Brett gelöst.;a plank;Unterführung Rorschacher Strasse Bei der Personenunterführung im Neudorf hat sich ein Brett gelöst.;x;;;;;94;Diverses;0.077
198;f9b1f765-c396-4f3b-a223-b83beb8bac7d;ice;ice,snow,ice,intersection,crosswalk; Vereiste Verkehrsfläche. Dieser Schneeberg sorgt regelmässig morgens und abends für Glatteis auf der Kreuzung. Sehr kritisch für Velos und Fussgänger, die dort kein Trottoir vorfinden.;Vereiste Verkehrsfläche;Dieser Schneeberg sorgt regelmässig morgens und abends für Glatteis auf der Kreuzung. Sehr kritisch für Velos und Fussgänger, die dort kein Trottoir vorfinden!;a ice;Vereiste Verkehrsfläche Dieser Schneeberg sorgt regelmässig morgens und abends für Glatteis auf der Kreuzung. Sehr kritisch für Velos und Fussgänger, die dort kein Trottoir vorfinden!;x;;;;;96;Diverses;0.080
199;86082400-9146-43ea-a9ee-3e2e3d86157f;hydrant;hydrant,water outlet,water,drip,ice; Leck an Hydranten. Am Hydranten tritt einer der seitlichen Ausschlüsse Wasser aus. Das ständige Tröpfchen führt zur Bildung von Glatteis im unmittelbaren Umfeld. Bitte zeitnah überprüfen und beheben.;Leck an Hydranten;Am Hydranten tritt an einem der seitlichen Anschlüsse Wasser aus. Das ständige Tröpfeln führt zur Bildung von Glatteis im unmittelbaren Umfeld. Bitte zeitnah prüfen und beheben.;a hydrant;Leck an Hydranten Am Hydranten tritt an einem der seitlichen Anschlüsse Wasser aus. Das ständige Tröpfeln führt zur Bildung von Glatteis im unmittelbaren Umfeld. Bitte zeitnah prüfen und beheben.;x;;;;;253;Diverses;0.207
200;8ece054b-697b-494b-a1c6-497231e068b4;snow;snow,sidewalk,street,vehicle,plow; Schnee versperrt Gehweg. Guten Tag, bei jedem Schneefall wird dieser Gehweg nicht richtig geräumt. Die Kinder laufen teilweise ständig auf der Strasse, was zu gefährlichen Situationen führt. Gestern Donnerstag drehte ein Fahrzeug mit Pflug diverse Runden ohne diesen gefährliche Situation zu beseitigen. Freundliche Grüße.;Schnee versperrt Gewehg;Guten Tag. Bei jedem Schneefall wird dieser Gewehg nicht richtig geräumt. Die Kinder laufen teilweise ständig auf der Straße,was zu gefährlichen Situationen führt. Gestern Donnerstag drehte ein Fahrzeug mit Pflug dieverse Runden ohne diese gefährlich Situationen zu beseitigen. Freundliche Grüße ;a snow;Schnee versperrt Gewehg Guten Tag. Bei jedem Schneefall wird dieser Gewehg nicht richtig geräumt. Die Kinder laufen teilweise ständig auf der Straße,was zu gefährlichen Situationen führt. Gestern Donnerstag drehte ein Fahrzeug mit Pflug dieverse Runden ohne diese gefährlich Situationen zu beseitigen. Freundliche Grüße ;x;;;;;215;Diverses;0.256
